id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TK,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PAUD,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,NA,1,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SD,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTP,7,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTA,1,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TK,0,KORBAN,2018
32102018,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PAUD,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,NA,1,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,"TIDAK 
SEKOLAH",0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SD,1,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTP,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTA,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TK,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PAUD,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,NA,9,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SD,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTP,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTA,2,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,"PERGURUAN 
TINGGI",1,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TK,0,KORBAN,2018
32112018,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PAUD,0,KORBAN,2018
